sample_id,target,ct
CALFGUARD_2,BCoV,24.81235313
CALFGUARD_2,BCoV,24.84854507
CALFGUARD_2,BCoV,24.94905472
CALFGUARD_22,BCoV,23.49090004
CALFGUARD_22,BCoV,22.90221977
CALFGUARD_22,BCoV,21.821455
CALFGUARD_24,BCoV,21.03715897
CALFGUARD_24,BCoV,21.14603615
CALFGUARD_24,BCoV,21.00470734
CALFGUARD_25,BCoV,21.52295685
CALFGUARD_25,BCoV,21.58673668
CALFGUARD_25,BCoV,21.57113075
CALFGUARD_26,BCoV,22.06425858
CALFGUARD_26,BCoV,22.01727676
CALFGUARD_26,BCoV,21.98997307
CALFGUARD_29,BCoV,22.79237747
CALFGUARD_29,BCoV,22.64403534
CALFGUARD_29,BCoV,22.62141418
CALFGUARD_3,BCoV,22.1437664
CALFGUARD_3,BCoV,22.0470829
CALFGUARD_3,BCoV,22.058424
CALFGUARD_3,BCoV,23.95889664
CALFGUARD_3,BCoV,23.97250175
CALFGUARD_3,BCoV,23.95609856
CALFGUARD_30,BCoV,23.1536293
CALFGUARD_30,BCoV,23.10581017
CALFGUARD_30,BCoV,23.11791801
CALFGUARD_31,BCoV,23.01410484
CALFGUARD_31,BCoV,23.40061378
CALFGUARD_31,BCoV,23.12575722
CALFGUARD_32,BCoV,22.26540947
CALFGUARD_32,BCoV,22.11474991
CALFGUARD_32,BCoV,22.06364822
CALFGUARD_33,BCoV,22.81102371
CALFGUARD_33,BCoV,22.85171509
CALFGUARD_33,BCoV,22.88283157
CALFGUARD_34,BCoV,21.86390114
CALFGUARD_34,BCoV,21.89392471
CALFGUARD_34,BCoV,21.88565254
CALFGUARD_35,BCoV,22.8238163
CALFGUARD_35,BCoV,22.77928543
CALFGUARD_35,BCoV,22.77816772
CALFGUARD_36,BCoV,22.7475338
CALFGUARD_36,BCoV,22.71310043
CALFGUARD_36,BCoV,22.71362495
CALFGUARD_37,BCoV,22.7575264
CALFGUARD_37,BCoV,22.57659149
CALFGUARD_37,BCoV,22.32616806
CALFGUARD_38,BCoV,22.708992
CALFGUARD_38,BCoV,22.64555931
CALFGUARD_38,BCoV,22.60378075
CALFGUARD_39,BCoV,21.75964355
CALFGUARD_39,BCoV,21.83345032
CALFGUARD_39,BCoV,21.61652756
CALFGUARD_4,BCoV,24.27586555
CALFGUARD_4,BCoV,24.16202736
CALFGUARD_4,BCoV,24.19821739
CALFGUARD_4,BCoV,23.95777321
CALFGUARD_4,BCoV,23.95777321
CALFGUARD_4,BCoV,23.95777321
CALFGUARD_48,BCoV,23.55286598
CALFGUARD_48,BCoV,23.47196198
CALFGUARD_48,BCoV,23.0943203
CALFGUARD_49,BCoV,20.96211052
CALFGUARD_49,BCoV,21.22478294
CALFGUARD_49,BCoV,21.24786377
CALFGUARD_5,BCoV,24.59156799
CALFGUARD_5,BCoV,24.57595062
CALFGUARD_5,BCoV,24.55062675
CALFGUARD_51,BCoV,25.57332802
CALFGUARD_51,BCoV,25.32655144
CALFGUARD_51,BCoV,24.88786125
CALFGUARD_52,BCoV,25.2548542
CALFGUARD_52,BCoV,24.87450218
CALFGUARD_52,BCoV,24.7386837
CALFGUARD_6,BCoV,25.35503197
CALFGUARD_6,BCoV,24.00353813
CALFGUARD_6,BCoV,23.96478844
CALFGUARD_7,BCoV,23.49090004
CALFGUARD_7,BCoV,22.90221977
CALFGUARD_7,BCoV,21.821455
CALFGUARD_53,BCoV,24.04013824
CALFGUARD_53,BCoV,23.91097069
CALFGUARD_53,BCoV,23.80083847
CALFGUARD_56,BCoV,20.72924423
CALFGUARD_56,BCoV,19.31409454
CALFGUARD_56,BCoV,19.39979553
CALFGUARD_55,BCoV,22.09559059
CALFGUARD_55,BCoV,22.09211922
CALFGUARD_55,BCoV,22.01003265
CALFGUARD_57,BCoV,22.86150551
CALFGUARD_57,BCoV,23.55760002
CALFGUARD_57,BCoV,20.80488586
CALFGUARD_58,BCoV,21.99467278
CALFGUARD_58,BCoV,21.04014778
CALFGUARD_58,BCoV,20.81357002
CALFGUARD_60,BCoV,22.06500435
CALFGUARD_60,BCoV,22.77124596
CALFGUARD_60,BCoV,21.97192192
CALFGUARD_61,BCoV,22.415802
CALFGUARD_61,BCoV,22.46833611
CALFGUARD_61,BCoV,22.32503319
CALFGUARD_62,BCoV,25.40042686
CALFGUARD_62,BCoV,25.53371811
CALFGUARD_62,BCoV,25.11511993
CALFGUARD_63,BCoV,25.26128006
CALFGUARD_63,BCoV,25.5812397
CALFGUARD_63,BCoV,25.16462708
CALFGUARD_64,BCoV,23.99625397
CALFGUARD_64,BCoV,24.1089859
CALFGUARD_64,BCoV,23.76660156
CALFGUARD_66,BCoV,22.94967461
CALFGUARD_66,BCoV,23.06565857
CALFGUARD_66,BCoV,22.94735527
CALFGUARD_67,BCoV,24.39304161
CALFGUARD_67,BCoV,24.71047974
CALFGUARD_67,BCoV,24.43736267
CALFGUARD_68,BCoV,25.10520554
CALFGUARD_68,BCoV,25.25917625
CALFGUARD_68,BCoV,25.06013298
CALFGUARD_69,BCoV,27.4218998
CALFGUARD_69,BCoV,27.69526672
CALFGUARD_69,BCoV,27.63341141
CALFGUARD_70,BCoV,22.65793991
CALFGUARD_70,BCoV,22.97759056
CALFGUARD_70,BCoV,22.71567535
CALFGUARD_71,BCoV,27.90219688
